Real Energy	Noised Energy	Filtered Energy	Noised Diff	Filtered Diff
90.517	96.881	96.344	-7.03%	-6.436%
323.728	329.826	329.014	-1.884%	-1.633%
368.058	361.696	360.759	1.728%	1.983%
65.35	53.552	53.38	18.053%	18.317%
254.715	260.398	260.109	-2.231%	-2.117%
373.969	384.353	383.076	-2.777%	-2.435%
161.31	172.561	172.359	-6.975%	-6.849%
429.716	437.731	437.258	-1.865%	-1.755%
576.615	571.944	571.052	0.81%	0.965%
515.156	513.653	512.537	0.292%	0.508%
649.041	646.35	645.351	0.415%	0.569%
63.616	60.27	60.073	5.26%	5.569%
384.296	371.39	370.857	3.358%	3.497%
178.1	178.183	177.719	-0.046%	0.214%
551.328	546.804	546.281	0.821%	0.915%
63.862	59.913	59.944	6.184%	6.134%
66.709	65.397	65.362	1.967%	2.018%
629.243	625.143	623.528	0.652%	0.908%
214.845	203.558	203.293	5.253%	5.377%
745.695	741.442	740.419	0.57%	0.708%
620.327	615.757	615.34	0.737%	0.804%
603.315	596.32	594.804	1.159%	1.411%
177.968	183.268	183.389	-2.978%	-3.046%
576.44	587.357	586.272	-1.894%	-1.706%
451.704	458.735	458.337	-1.557%	-1.469%
680.719	689.166	687.922	-1.241%	-1.058%
651.211	652.993	651.562	-0.274%	-0.054%
567.577	574.068	572.662	-1.144%	-0.896%
367.901	370.888	369.503	-0.812%	-0.435%
712.794	710.304	709.434	0.349%	0.471%
400.373	401.783	401.46	-0.352%	-0.271%
56.474	62.554	62.683	-10.766%	-10.995%
116.534	115.155	115.075	1.184%	1.252%
168.404	175.578	175.29	-4.26%	-4.089%
523.584	533.939	533.021	-1.978%	-1.802%
243.51	251.243	250.68	-3.175%	-2.944%
693.757	685.593	684.522	1.177%	1.331%
288.659	285.23	284.322	1.188%	1.502%
224.94	220.632	220.004	1.915%	2.194%
309.134	306.762	306.154	0.767%	0.964%
277.52	272.711	271.773	1.733%	2.071%
615.284	618.909	617.014	-0.589%	-0.281%
590.659	597.259	595.997	-1.117%	-0.904%
475.564	478.883	477.844	-0.698%	-0.479%
665.547	668.823	667.82	-0.492%	-0.342%
478.31	476.523	476.134	0.374%	0.455%
558.103	556.695	555.997	0.252%	0.377%
536.007	524.353	523.917	2.174%	2.256%
57.341	55.986	55.735	2.363%	2.8%
736.676	730.531	729.513	0.834%	0.972%
162.988	160.261	159.96	1.673%	1.858%
214.595	209.902	209.374	2.187%	2.433%
528.171	523.41	522.994	0.901%	0.98%
559.452	555.945	555.715	0.627%	0.668%
57.525	59.911	59.549	-4.148%	-3.519%
542.347	548.306	546.425	-1.099%	-0.752%
342.561	344.203	343.57	-0.479%	-0.295%
659.145	657.799	656.315	0.204%	0.429%
296.992	290.191	289.784	2.29%	2.427%
646.931	649.676	647.919	-0.424%	-0.153%
282.99	283.106	282.774	-0.041%	0.076%
519.028	519.023	517.393	0.001%	0.315%
392.901	390.884	390.508	0.513%	0.609%
62.334	66.625	66.292	-6.885%	-6.35%
490.106	504.463	503.105	-2.929%	-2.652%
87.683	92.376	92.374	-5.352%	-5.349%
270.73	278.018	277.463	-2.692%	-2.487%
386.701	393.1	392.976	-1.655%	-1.623%
148.903	149.238	148.626	-0.225%	0.186%
730.555	734.919	733.153	-0.597%	-0.356%
689.178	685.254	684.342	0.569%	0.702%
610.886	608.9	608.32	0.325%	0.42%
455.567	454.584	453.726	0.216%	0.404%
95.899	93.485	93.185	2.517%	2.83%
104.23	101.608	101.367	2.516%	2.747%
316.071	321.274	321.062	-1.646%	-1.579%
618.049	620.976	619.633	-0.474%	-0.256%
665.876	668.129	666.597	-0.338%	-0.108%
81.364	76.361	76.314	6.148%	6.206%
618.934	615.098	614.404	0.62%	0.732%
693.296	688.998	687.659	0.62%	0.813%
125.411	125.424	125.214	-0.01%	0.157%
523.862	514.983	514.506	1.695%	1.786%
624.207	629.736	628.668	-0.886%	-0.715%
585.981	583.611	582.364	0.404%	0.617%
284.298	281.58	281.092	0.956%	1.128%
629.4	623.196	622.207	0.986%	1.143%
154.929	149.462	149.096	3.529%	3.765%
171.938	170.855	170.447	0.63%	0.867%
687.251	688.578	687.72	-0.193%	-0.068%
218.338	217.524	216.735	0.373%	0.734%
595.008	588.682	587.148	1.063%	1.321%
469.469	467.932	467.093	0.327%	0.506%
450.958	451.483	449.909	-0.117%	0.232%
538.879	539.356	538.625	-0.088%	0.047%
703.56	710.988	709.856	-1.056%	-0.895%
121.156	128.302	128.067	-5.898%	-5.704%
538.341	543.114	542.089	-0.887%	-0.696%
57.656	65.296	65.095	-13.251%	-12.902%
272.396	281.047	280.918	-3.176%	-3.129%
283.686	292.724	291.94	-3.186%	-2.909%
